Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Kth Largest Element in an Array,93.6,0.6797700117160972,https://leetcode.com/problems/kth-largest-element-in-an-array
MEDIUM,Find Peak Element,85.8,0.4650925742800201,https://leetcode.com/problems/find-peak-element
MEDIUM,Binary Tree Right Side View,85.1,0.6704254068229247,https://leetcode.com/problems/binary-tree-right-side-view
EASY,Merge Sorted Array,83.7,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array
EASY,Two Sum,82.1,0.5577698756001499,https://leetcode.com/problems/two-sum
MEDIUM,"Pow(x, n)",82.1,0.3702319433830264,https://leetcode.com/problems/powx-n
EASY,Valid Palindrome,81.7,0.5096356084225621,https://leetcode.com/problems/valid-palindrome
MEDIUM,Simplify Path,81.7,0.4785432317744196,https://leetcode.com/problems/simplify-path
MEDIUM,Merge Intervals,81.2,0.4939526774846352,https://leetcode.com/problems/merge-intervals
MEDIUM,Sum Root to Leaf Numbers,79.3,0.6852760683519554,https://leetcode.com/problems/sum-root-to-leaf-numbers
MEDIUM,Copy List with Random Pointer,78.8,0.6053669280147949,https://leetcode.com/problems/copy-list-with-random-pointer
MEDIUM,LRU Cache,76.0,0.4521454488123034,https://leetcode.com/problems/lru-cache
EASY,Best Time to Buy and Sell Stock,75.4,0.5525965868759138,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
HARD,Merge k Sorted Lists,74.7,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists
MEDIUM,Next Permutation,73.1,0.4305773671839413,https://leetcode.com/problems/next-permutation
MEDIUM,Find First and Last Position of Element in Sorted Array,70.9,0.4682873183580639,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
HARD,Minimum Window Substring,68.9,0.4535073359144813,https://leetcode.com/problems/minimum-window-substring
MEDIUM,Clone Graph,68.6,0.6238577114061011,https://leetcode.com/problems/clone-graph
HARD,Valid Number,67.6,0.21563512503115395,https://leetcode.com/problems/valid-number
EASY,Valid Parentheses,66.2,0.42322816672162217,https://leetcode.com/problems/valid-parentheses
MEDIUM,Remove Nth Node From End of List,65.1,0.48961030525634286,https://leetcode.com/problems/remove-nth-node-from-end-of-list
EASY,Longest Common Prefix,60.8,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix
MEDIUM,Course Schedule,59.8,0.4923425308395746,https://leetcode.com/problems/course-schedule
MEDIUM,Add Two Numbers,57.6,0.4622507231988566,https://leetcode.com/problems/add-two-numbers
MEDIUM,Longest Substring Without Repeating Characters,57.0,0.3693615940639471,https://leetcode.com/problems/longest-substring-without-repeating-characters
MEDIUM,Binary Search Tree Iterator,57.0,0.7486926503064439,https://leetcode.com/problems/binary-search-tree-iterator
EASY,Remove Duplicates from Sorted Array,56.4,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array
HARD,Median of Two Sorted Arrays,53.8,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays
MEDIUM,3Sum,53.8,0.3707095392707933,https://leetcode.com/problems/3sum
EASY,Palindrome Number,52.3,0.5922455573209394,https://leetcode.com/problems/palindrome-number
MEDIUM,Number of Islands,51.5,0.6231991397851002,https://leetcode.com/problems/number-of-islands
MEDIUM,String to Integer (atoi),51.5,0.19229423495277723,https://leetcode.com/problems/string-to-integer-atoi
MEDIUM,Longest Palindromic Substring,51.5,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring
HARD,Word Ladder,50.7,0.4281180881873274,https://leetcode.com/problems/word-ladder
EASY,Missing Ranges,50.7,0.3526494595509856,https://leetcode.com/problems/missing-ranges
MEDIUM,Sort Colors,49.9,0.6758312948649591,https://leetcode.com/problems/sort-colors
MEDIUM,Subsets,49.9,0.808795565390318,https://leetcode.com/problems/subsets
HARD,Trapping Rain Water,49.0,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water
